[Objective_value_file]
report.type: objective_function
obs->lf_ll_146: 1139.16
obs->lf_ll_147: 272.125
obs->lf_ll_148: nan
obs->lf_ll_149: nan
obs->lf_ll_150: nan
obs->lf_ll_152: 232.808
obs->lf_ll_153: nan
obs->lf_ll_154: 214.051
obs->lf_ll_155: 125.888
obs->lf_ll_156: nan
obs->lf_ll_157: nan
obs->lf_ll_158: 147.003
obs->lf_ll_159: 197.296
obs->lf_ll_160: 251.696
obs->lf_ll_161: nan
obs->lf_ll_162: 25.2155
obs->lf_ll_163: 135.023
obs->lf_ll_164: 507.008
obs->lf_ll_165: 793.958
obs->lf_ll_166: 10.0428
obs->lf_ll_168: 70.4593
obs->lf_ll_169: 225.939
obs->lf_ll_170: 199.367
obs->lf_ll_171: 93.6808
obs->lf_ll_172: 319.385
obs->lf_ll_173: nan
obs->lf_ll_174: 125.983
obs->lf_ll_175: 15.2781
obs->lf_ll_176: 79.6282
obs->lf_ll_177: nan
obs->lf_ll_178: 9.99915
obs->lf_ll_180: 84.4084
obs->lf_ll_181: nan
obs->lf_ll_182: 9.72597
obs->lf_ll_184: 608.062
obs->lf_ll_185: nan
obs->lf_ll_186: nan
obs->lf_ll_187: 174.741
obs->lf_ll_189: nan
obs->lf_ll_190: 42.804
obs->lf_ll_193: nan
obs->lf_ll_194: 33.5023
obs->lf_ll_195: 466.051
obs->lf_ll_196: 155.553
obs->lf_ll_197: nan
obs->lf_ll_198: 24.5894
obs->lf_ll_199: 54.9841
obs->lf_ll_200: 11.3452
obs->lf_ll_203: 2.41579
obs->lf_ll_204: 357.897
obs->lf_ll_205: 605.512
obs->lf_ll_208: 72.9525
obs->lf_ll_210: 13.59
obs->lf_ll_211: 45.7505
obs->lf_ll_212: 102.172
obs->lf_ll_214: 20.4489
obs->lf_ll_215: 14.4251
obs->lf_ll_217: 1767.96
obs->lf_ll_218: nan
obs->lf_ll_219: 125.257
obs->lf_ll_220: 478.783
obs->lf_ll_221: 392.315
obs->lf_ll_222: 2.62541
obs->lf_ll_223: 55.9472
obs->lf_ll_224: 1350.44
obs->lf_ll_225: 1413.42
obs->lf_ll_226: 165.296
obs->lf_ll_229: 9.22394
obs->lf_ll_231: 24.3607
obs->lf_ll_232: 45.8451
obs->lf_ll_238: 48.8652
obs->lf_hand_205: 770.145
obs->lf_hand_206: 32.5247
obs->lf_hand_207: 162.135
obs->lf_hand_213: 787.51
obs->lf_hand_214: 983.158
obs->lf_hand_215: 342.053
obs->lf_hand_216: 22.5099
obs->lf_hand_217: 2081.73
obs->lf_hand_218: 411.013
obs->lf_hand_219: 413.927
obs->lf_hand_220: 324.456
obs->lf_hand_221: 324.293
obs->lf_hand_222: 255.108
obs->lf_hand_223: 410.312
obs->lf_hand_224: 1125.66
obs->lf_hand_225: 1149.65
obs->lf_hand_226: 749.095
obs->lf_hand_227: 731.86
obs->lf_hand_228: 709.204
obs->lf_hand_229: 1186.74
obs->lf_hand_230: 2327.05
obs->lf_hand_231: 981.702
obs->lf_hand_232: 716.483
obs->lf_hand_233: 227.79
obs->lf_hand_234: 1170.29
obs->lf_hand_235: 1136.56
obs->lf_hand_236: 488.274
obs->lf_hand_237: 925.155
obs->lf_hand_238: 1265.69
obs->lf_hand_239: 295.676
